name,gm500,gm500-,gm500+,gm2500,gm2500-,gm2500+,gm_froztemp500,gm_froztemp500-,gm_froztemp500+,gm_froztemp2500,gm_froztemp2500-,gm_froztemp2500+
25124A,2.6943,0.1392,0.1378,0.9038,0.0464,0.0447,2.7098,0.0555,0.0558,1.0504,0.0224,0.0217
25124B,0.0715,0.0087,0.0089,0.0566,0.0054,0.0058,0.0701,0.008,0.008,0.0518,0.0043,0.0046
25124C,0.2309,0.0222,0.0236,0.0634,0.01,0.0113,0.2829,0.0197,0.0219,0.0506,0.0052,0.0055
44739,0.005,0.0009,0.0015,0.0049,0.0008,0.0011,0.005,0.0009,0.0015,0.0049,0.0008,0.0013
19670AB,0.0986,0.0067,0.0071,0.0597,0.0048,0.0049,0.0991,0.0066,0.0071,0.0576,0.0036,0.0036
19670A,0.0143,0.0019,0.0024,0.0138,0.0015,0.0017,0.0143,0.0019,0.0024,0.0138,0.0016,0.0017
19670B,0.0458,0.003,0.0032,0.0419,0.0021,0.0021,0.0457,0.003,0.0031,0.0407,0.0019,0.0019
19670D,0.0886,0.0122,0.0136,0.0779,0.0101,0.0102,0.1019,0.0128,0.0159,0.0649,0.005,0.0052
12833A,0.1527,0.0103,0.0109,0.0573,0.0031,0.0032,0.1812,0.0116,0.0125,0.0729,0.0037,0.0038
12833B,0.0386,0.0048,0.0064,nan,nan,nan,0.0387,0.0049,0.0069,nan,nan,nan
44858,0.196,0.007,0.0071,0.1373,0.0052,0.0051,0.2032,0.0082,0.0083,0.1536,0.0037,0.0038
J215504.8-093520,0.6734,0.0408,0.0423,nan,nan,nan,0.8197,0.0444,0.0448,0.2357,0.0114,0.0114
J215437.2-091532.4,0.1416,0.0117,0.0123,0.0298,0.0023,0.0023,0.1421,0.0168,0.0175,0.0415,0.0047,0.0047
50433,0.3564,0.0308,0.034,0.076,0.0058,0.0062,0.4275,0.0399,0.0404,0.119,0.0082,0.0086
