name,ra,dec,redshift,r2500,r2500+-,froz_Tx2500,froz_Tx2500+-,Lx2500_0.5-2.0,Lx2500_0.5-2.0-,Lx2500_0.5-2.0+,Lx2500_0.01-100.0,Lx2500_0.01-100.0-,Lx2500_0.01-100.0+,Lx2500ce_0.5-2.0,Lx2500ce_0.5-2.0-,Lx2500ce_0.5-2.0+,Lx2500ce_0.01-100.0,Lx2500ce_0.01-100.0-,Lx2500ce_0.01-100.0+
25124A,243.6290552,26.73024,0.186,405.9039330320345,6.004636201754814,4.190003515524094,0.08862566386877516,5.887013771e+43,9.3439997587959e+41,7.7162911488402e+41,1.767216513e+44,2.18640363112203e+42,2.8088391528300305e+42,4.772054904e+43,9.213081741937802e+41,7.1780563885288e+41,1.4325181760000001e+44,1.85149753308121e+42,2.2362023605084903e+42
25124B,243.504,26.691,0.186,251.13006580935843,9.363781970526775,1.7776617233106775,0.09568664383752792,2.7369552e+42,2.4967350009335006e+41,2.0471911084092002e+41,5.886605018e+42,4.1740575492691e+41,5.332346133099101e+41,2.4941254880000003e+42,2.3410173859873003e+41,2.1713497022663004e+41,5.3643302670000004e+42,3.3933249650770006e+41,5.160271971918301e+41
25124C,243.541,26.648,0.186,,,,,,,,,,,,,,,,
44739,229.79362,28.33175,0.118,205.53898471610884,11.861705820669298,1.167647217517185,0.10002576127262,5.30566726e+41,1.2988384383238002e+41,1.1643130984521e+41,9.861213602000002e+41,2.7412133469876e+41,2.2457413277189003e+41,3.1272325560000006e+41,1.2466751920065001e+41,1.156321108453e+41,5.812333624000001e+41,1.5615909359441002e+41,2.3747309775913e+41
19670AB,150.2264016,50.8005648,0.134,257.1048118141029,9.480888400068595,1.7667948194325431,0.0920143348896395,2.3413745430000003e+42,1.6360437359920001e+41,1.4829310330162002e+41,5.0502404200000006e+42,3.7606759007219e+41,2.9878139253076e+41,2.2535911060000003e+42,1.5322004718020001e+41,1.4620367953730001e+41,4.8608954630000004e+42,2.6767965536154002e+41,2.5382940135325002e+41
19670A,150.25671,50.793942,0.134,,,,,,,,,,,,,,,,
19670B,150.21492,50.805014,0.134,213.11455104186513,11.749911374946318,1.263733735814673,0.1069636941917553,7.157464908000002e+41,1.5344293714454002e+41,1.5379118760773001e+41,1.3753820300000002e+42,3.3805200027805e+41,2.8323869056307003e+41,5.842654506000001e+41,1.5280751243037001e+41,1.5320232873066e+41,1.122727407e+42,3.0704478116335003e+41,2.24439134924e+41
19670C,150.065,50.746,0.134,,,,,,,,,,,,,,,,
19670D,150.168,50.686,0.134,235.90755965692532,10.258575300307312,1.5151545234677413,0.09480369252492309,1.356205864e+42,1.7629695251084e+41,1.4915287563658003e+41,2.7870005920000002e+42,3.7205490764569e+41,3.1020218979528005e+41,1.2218006970000001e+42,1.8965908470845e+41,1.4982106049504e+41,2.5107982170000002e+42,2.5465902672527004e+41,3.1965294423843e+41
12833A,129.4968,44.2487,0.145,269.98884587651077,9.12172853623586,1.9474416451934324,0.09279327799116252,3.4150526340000005e+42,2.1140964257700002e+41,2.0331349590667003e+41,7.592849059e+42,5.080148419680101e+41,4.546942005028901e+41,2.847915314e+42,2.1358943621486002e+41,1.9146624879549e+41,6.331905664e+42,3.9655981731606004e+41,3.2183099901945004e+41
12833B,129.445,44.379,0.145,240.27090500771163,10.14159782538184,1.5813485294337677,0.09835315322800238,1.6140990639999998e+42,1.9558066009220004e+41,1.5606234049913e+41,3.3632455950000004e+42,3.2605662295825005e+41,3.8944100176545e+41,1.072055728e+42,2.0726323149754002e+41,1.5430261450004e+41,2.2338075690000002e+42,2.72189166199e+41,3.3928861731898005e+41
J083829.2+441904.8,129.622,44.318,0.198,,,,,,,,,,,,,,,,
44858,230.112,28.88775,0.127,342.6992003830389,7.683576779920074,2.9328772822891036,0.09444680632779177,1.4590216900000002e+43,6.4955922822335004e+41,6.169428709310301e+41,3.7527720060000006e+43,1.89988393842013e+42,1.61585920967651e+42,1.226067132e+43,6.1150850775606e+41,6.1729668876953006e+41,3.1535860240000005e+43,1.5219310200161002e+42,1.3708114916588602e+42
J215504.8-093520,328.76992,-9.5888055,0.077,319.87332085540606,8.66414510057558,2.480868686501052,0.09607309722085967,7.276135705000001e+42,3.3134534315113e+41,2.0081649879884004e+41,1.833421589e+43,6.040282865223701e+41,7.348269114953402e+41,5.5511854600000007e+42,2.681043671545e+41,2.456303576868e+41,1.3987731510000002e+43,6.0034622344030006e+41,4.739602516438601e+41
J215437.2-091532.4,328.655,-9.259,0.078,199.45229105986937,11.883514815651582,1.068220619860222,0.10192932950894415,3.4666434280000004e+41,6.815144929926001e+40,5.261069508401001e+40,6.200806978000001e+41,1.0076979995220001e+41,1.1176998586759e+41,1.200841241e+41,6.489375033262e+40,6.710900724714001e+40,2.1479523070000002e+41,8.886149856214e+40,1.2900402595981002e+41
50433,157.758,30.862,0.136,259.5974259262193,9.753443716652303,1.800769983148765,0.09797985870033325,2.6313935010000002e+42,2.6951061366810003e+41,2.5833749931388006e+41,5.712997636e+42,5.8830443083746e+41,5.2910664538693006e+41,2.0472983000000002e+42,2.5826063148363003e+41,2.3954292365117005e+41,4.4448731610000005e+42,3.7788535548859004e+41,5.7465501240597004e+41
