name,ra,dec,redshift,r2500,r2500+-,Tx2500,Tx2500-,Tx2500+,Lx2500_0.5-2.0,Lx2500_0.5-2.0-,Lx2500_0.5-2.0+,Lx2500_0.01-100.0,Lx2500_0.01-100.0-,Lx2500_0.01-100.0+,Zmet2500,Zmet2500-,Zmet2500+
25124A,243.6290552,26.73024,0.186,365.48091169149495,14.97174838063144,3.61062,0.258182245,0.2819911940000001,5.617199201000001e+43,9.913092700099e+41,6.8154604416954005e+41,1.5772633970000002e+44,7.41474335852478e+42,7.03021965824245e+42,0.376784,0.0862605787999999,0.1028536274999999
25124B,243.504,26.691,0.186,,,,,,,,,,,,,,
25124C,243.541,26.648,0.186,190.50124347961287,17.958391515329634,1.02808,0.1544722915,0.2248782789999999,1.4099161580000003e+42,3.782919335717301e+41,1.9703522417233002e+41,3.052024827e+42,6.975525995105001e+41,3.757075814363901e+41,0.0211929,0.0211929,0.04432944509
44739,229.79362,28.33175,0.118,,,,,,,,,,,,,,
19670AB,150.2264016,50.8005648,0.134,,,,,,,,,,,,,,
19670A,150.25671,50.793942,0.134,,,,,,,,,,,,,,
19670B,150.21492,50.805014,0.134,247.37012240711056,17.71256722412351,1.67721,0.2285265710000001,0.4020110369999998,2.4962281690000003e+42,2.2793710409918e+41,1.1793434045545e+41,5.4931896770000007e+42,5.3638222571776006e+41,3.3749392962701e+41,0.0878413,0.0521357303699999,0.0884583936
19670C,150.065,50.746,0.134,,,,,,,,,,,,,,
19670D,150.168,50.686,0.134,156.93823938386274,20.69772051060707,0.792422,0.1174334312999999,0.1188105824,1.2298616550000002e+42,2.5613365376373005e+41,1.3079665890865002e+41,2.7819980760000006e+42,5.8514861080969e+41,4.4753177466274005e+41,0.0147061,0.0147061,0.02895127847
12833A,129.4968,44.2487,0.145,221.62161597130893,9.458565102301,1.36219,0.073011793,0.085897657,3.030304268e+42,2.0178265664313004e+41,1.7961422150116e+41,6.121680127000001e+42,5.2643552389487004e+41,3.4854634132782004e+41,0.221397,0.0629486688,0.0910324739999999
12833B,129.445,44.379,0.145,,,,,,,,,,,,,,
J083829.2+441904.8,129.622,44.318,0.198,,,,,,,,,,,,,,
44858,230.112,28.88775,0.127,297.2552570301754,13.7858986187042,2.36022,0.1916218459999998,0.239307788,1.611121293e+43,6.3477734775007006e+41,2.9442798812502004e+41,3.8276877150000003e+43,2.6227829973089102e+42,1.45351526911424e+42,0.252549,0.0657935789,0.0846798832999999
J215504.8-093520,328.76992,-9.5888055,0.077,259.75362906473873,8.634192144638734,1.70946,0.073400769,0.0888021670000001,6.552467838000001e+42,2.7896440590124002e+41,2.559396204496e+41,1.479407397e+43,7.1880938781634e+41,7.3196991481484e+41,0.320306,0.0564416920999999,0.0713455258
J215437.2-091532.4,328.655,-9.259,0.078,,,,,,,,,,,,,,
50433,157.758,30.862,0.136,205.34152373012975,9.442892291344343,1.1846,0.073851429,0.0836341569999998,2.3146954470000003e+42,4.6627779485352e+41,1.3515454007826002e+41,4.4053470200000005e+42,8.048899352307e+41,4.0259258984691e+41,0.247038,0.0983640234,0.1656305047
