name,ra,dec,redshift,r2500,r2500+-,Tx2500,Tx2500-,Tx2500+,Lx2500_0.5-2.0,Lx2500_0.5-2.0-,Lx2500_0.5-2.0+,Lx2500_0.01-100.0,Lx2500_0.01-100.0-,Lx2500_0.01-100.0+
25124A,243.6290552,26.73024,0.186,365.9490148717374,12.837741592813986,3.47707,0.2068764149999999,0.2307647649999999,5.629182823e+43,6.796421290346701e+41,9.714955926555102e+41,1.5511018240000002e+44,4.5027939600700906e+42,4.7735737670928705e+42
25124B,243.504,26.691,0.186,281.22741271646726,19.991982218922306,2.13755,0.269999581,0.3671724950000001,3.434714199000001e+42,2.3367417094045e+41,2.2904401258522004e+41,7.835089746e+42,6.983378001132601e+41,9.7704720227733e+41
25124C,243.541,26.648,0.186,242.94039311785946,11.88695547703252,1.72983,0.2030707769999999,0.3163683340000001,2.4957666460000003e+42,1.6091272965881001e+41,2.7680253391190003e+41,5.323173406000001e+42,6.046525267484701e+41,7.199634424953601e+41
44739,229.79362,28.33175,0.118,193.97394724950183,11.146857798352585,1.04486,0.1019886318999998,0.099334575,9.203238783000001e+41,1.1323072523724e+41,8.588472811600001e+40,1.6248956510000002e+42,2.2995561336321002e+41,1.6145517105435e+41
19670AB,150.2264016,50.8005648,0.134,269.5628189769842,14.742251684932631,1.96955,0.1924239169999999,0.2658966830000002,2.6483657350000002e+42,1.4971317408402002e+41,1.225065521322e+41,5.908934173000001e+42,3.8173879082209005e+41,5.4699856031349006e+41
19670A,150.25671,50.793942,0.134,213.55486511029366,16.322915581139334,1.33418,0.1784352999999998,0.277400029,8.553709429000001e+41,1.2360647026404e+41,1.4241267771093001e+41,1.6796526820000002e+42,3.4188020948120005e+41,2.7580747432096003e+41
19670B,150.21492,50.805014,0.134,275.606545582909,15.63961758213242,2.03669,0.1944550770000002,0.2902024860000001,3.1346727e+42,1.5127597197285001e+41,1.4980859232173002e+41,7.069251837000001e+42,4.2147151382353e+41,6.250359392185401e+41
19670C,150.065,50.746,0.134,,,,,,,,,,,
19670D,150.168,50.686,0.134,319.79203830317596,40.63332217918405,2.28729,0.586479814,1.7278040459999997,1.421235765e+42,1.6240251137679e+41,4.4618483159078006e+41,3.3306230440000005e+42,5.0852172818022005e+41,1.0080752594116701e+42
12833A,129.4968,44.2487,0.145,225.33972119146094,8.268929933050565,1.40393,0.0637016299999999,0.069387163,2.9955201e+42,1.3972467795312002e+41,1.5047834435172e+41,5.995571268000001e+42,4.6206087627626e+41,3.8506161755811006e+41
12833B,129.445,44.379,0.145,,,,,,,,,,,
J083829.2+441904.8,129.622,44.318,0.198,,,,,,,,,,,
44858,230.112,28.88775,0.127,309.3192230884462,12.179436377603205,2.46527,0.1625442749999996,0.183851905,1.6512619670000001e+43,4.936440013889101e+41,3.674963050897e+41,3.976030859e+43,1.6039840071673703e+42,2.1900810560683103e+42
J215504.8-093520,328.76992,-9.5888055,0.077,258.13568153026966,7.498280422550504,1.69315,0.0528942699999999,0.059427858,6.536664195e+42,2.3344621082489003e+41,1.9215513374728e+41,1.4760603750000003e+43,5.988406344451601e+41,7.000688284655601e+41
J215437.2-091532.4,328.655,-9.259,0.078,167.2259058394529,8.333078709642812,0.748889,0.0265340102,0.0367986578,3.0170901470000002e+41,5.147406361692e+40,6.150615240872001e+40,4.762710363e+41,8.597569992578001e+40,1.1208311848465e+41
50433,157.758,30.862,0.136,205.22405631511492,8.943947830901081,1.18882,0.067616992,0.0796294459999999,2.279974507e+42,1.9776359068800004e+41,1.7068196766249002e+41,4.2712002960000005e+42,4.606062861833701e+41,3.8105039242165005e+41
