name,ra,dec,redshift,r500,r500+-,Tx500,Tx500-,Tx500+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+,Zmet500,Zmet500-,Zmet500+,Tx500ce,Tx500ce-,Tx500ce+,Lx500ce_0.5-2.0,Lx500ce_0.5-2.0-,Lx500ce_0.5-2.0+,Lx500ce_0.01-100.0,Lx500ce_0.01-100.0-,Lx500ce_0.01-100.0+,Zmet500ce,Zmet500ce-,Zmet500ce+
25124A,243.6290552,26.73024,0.186,868.8301583678008,46.88300131641796,3.87153,0.356995344,0.4489783210000002,7.198096614000001e+43,1.8307535403108803e+42,1.19493376335873e+42,2.0735079680000002e+44,1.7432367302889922e+43,1.210697942153973e+43,0.182414,0.0903693529099999,0.1155180427,4.11147,0.5350612119999996,0.8936444740000002,4.505171475e+43,1.30690049890812e+42,1.5403514014404702e+42,1.321567516e+44,1.456675026263039e+43,1.283953524979947e+43,1.84845e-09,1.84845e-09,0.07084663559155
25124B,243.504,26.691,0.186,382.1994351646004,41.90817848793529,0.942869,0.1839074299999999,0.212417303,2.801621553e+42,9.167283137189901e+41,6.4093454923219e+41,6.389401593000001e+42,1.3612987384540701e+42,1.40802521901457e+42,2.31796e-06,2.31796e-06,0.0223266197399999,0.861763,0.1756971741999999,0.2364323980000001,2.222230981e+42,6.6448858193042e+41,4.2032188342644e+41,5.0395317160000004e+42,1.6741858343951003e+42,1.2160488845963102e+42,0.00766848,0.00766848,0.0347672221
25124C,243.541,26.648,0.186,472.39251552291137,27.092149520199097,1.29347,0.1122809089999998,0.1305918490000002,7.504292085000001e+42,7.0478016857339e+41,4.914032952311e+41,1.5632850400000002e+43,1.59977114046368e+42,9.989768742766501e+41,0.0920471,0.04210955533,0.0644444631999999,1.32154,0.130159927,0.1414679110000001,7.230374589000001e+42,7.0750732697866e+41,4.8065932136484e+41,1.50854361e+43,1.4172754319548303e+42,8.082230438075701e+41,0.0975372,0.04762801882,0.0730347985999999
44739,229.79362,28.33175,0.118,417.32180796069565,23.178198751959126,1.06812,0.0799552287999999,0.085072494,2.1263509680000003e+42,6.949411616309701e+41,1.131385258964e+41,3.8337665700000005e+42,1.1950530990325402e+42,4.061687502087201e+41,0.27123,0.1337588024,0.3764023018999999,1.04063,0.0856884630999998,0.0866092899999999,1.6307771940000003e+42,1.53304640393328e+42,-8.528581913970001e+40,2.7789905540000003e+42,1.8359788380323002e+42,1.8614569086210002e+40,0.410917,0.2452673185999999,3.20247254
19670AB,150.2264016,50.8005648,0.134,523.010655994528,38.564179365171974,1.41104,0.169192263,0.3319989939999999,3.5058276120000007e+42,5.5292535022721004e+41,2.7883127553202e+41,7.411008179e+42,1.24734993375722e+42,5.5779230503072e+41,0.109092,0.0622844253599999,0.111042635,1.47818,0.2072637080000001,0.4125099439999999,2.9671968800000003e+42,5.3790460130892e+41,3.8068206632146e+41,6.204018032000001e+42,1.17464610383635e+42,7.5831536325818e+41,0.183223,0.10866931965,0.2277060441999999
19670A,150.25671,50.793942,0.134,460.1794205662417,33.2197659438796,1.29273,0.160328558,0.214125665,1.5476959950000003e+42,7.099017272896301e+41,7.232806126777001e+40,2.9722023800000006e+42,9.684495278621002e+41,3.3814196599921004e+41,0.342727,0.2061840085,0.6335794304,1.38433,0.1671365010000001,0.2384094269999999,1.110645599e+42,7.578419957101702e+41,9.420847522517001e+40,2.1002320110000002e+42,1.1773547642650101e+42,2.6118995379126002e+41,0.626145,0.4292939786999999,3.945891407
19670B,150.21492,50.805014,0.134,526.7746654583509,36.793331780901866,1.54269,0.1743920049999998,0.254245805,4.1171974010000005e+42,5.5691979931027e+41,4.1512540228759e+41,8.610258577000001e+42,1.19847417817564e+42,5.837343578753501e+41,0.237404,0.1131666875,0.197391894,1.38275,0.1525048719999999,0.2231387900000001,3.3269532100000004e+42,4.7035241846649005e+41,2.4832883592515e+41,6.875224487000001e+42,1.2898691859243102e+42,5.790628077715801e+41,0.161246,0.08718330021,0.1648278828
19670C,150.065,50.746,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,
19670D,150.168,50.686,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,
12833A,129.4968,44.2487,0.145,483.05978761360365,26.002437571991162,1.30823,0.1026170289999999,0.119926417,3.440046051e+42,5.736955839209301e+41,2.4822850531963e+41,6.912490436e+42,9.379019310187401e+41,7.6711159250655e+41,0.195392,0.0765032925,0.1132208316999999,1.32686,0.1361078739999999,0.201515788,2.2083285900000002e+42,5.7185671307872005e+41,2.0875071720089003e+41,4.4644254250000004e+42,1.0197888359644002e+42,6.3276241157636005e+41,0.190432,0.0960430338799999,0.1755385059999999
