name,ra,dec,redshift,r500,r500+-,Tx500,Tx500-,Tx500+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+,Tx500ce,Tx500ce-,Tx500ce+,Lx500ce_0.5-2.0,Lx500ce_0.5-2.0-,Lx500ce_0.5-2.0+,Lx500ce_0.01-100.0,Lx500ce_0.01-100.0-,Lx500ce_0.01-100.0+
25124A,243.6290552,26.73024,0.186,893.3826679892444,44.13785618957637,4.08341,0.3343223889999995,0.4228775699999998,7.141391696000001e+43,1.4990895182411102e+42,1.4479668281745703e+42,2.118113667e+44,1.0592712352739471e+43,1.0194246104961811e+43,4.15868,0.5606500050000003,0.8313346409999998,4.376124373e+43,1.31837585891969e+42,1.2240015912808e+42,1.30904067e+44,8.87492871257727e+42,1.084593683558299e+43
25124B,243.504,26.691,0.186,232.39417345306776,46.383463622558715,2.58669,0.7370518589999999,2.403692583,1.7078477920000002e+42,3.6969883760125e+41,3.7959250772725006e+41,4.166720211000001e+42,1.3145936032473701e+42,1.4037430106149402e+42,,,,,,,,,
25124C,243.541,26.648,0.186,494.38160869968993,20.414586559513552,1.41011,0.082260006,0.093875812,6.803657789000001e+42,4.8080226394759e+41,5.710481064538601e+41,1.35717981e+43,1.3875307385715602e+42,1.05690501065231e+42,1.40659,0.0859282009999999,0.0947370489999999,6.597140945000001e+42,2.8829911965592004e+41,6.194692346418601e+41,1.314807451e+43,1.0154064560595001e+42,1.43732257431055e+42
44739,229.79362,28.33175,0.118,419.40800593937064,22.236682227472883,1.05321,0.077640135,0.0815114519999999,2.1413815980000002e+42,2.8809015226576e+41,2.6622349321261003e+41,3.794534901e+42,4.745230317123401e+41,5.1069586922518004e+41,1.02426,0.0818719813999999,0.090931633,1.729589965e+42,2.0900910637565e+41,2.4694819929640002e+41,3.026989262e+42,3.2983982086779004e+41,2.9400369530453002e+41
19670AB,150.2264016,50.8005648,0.134,572.9342431683195,55.18554980322462,1.32586,0.1279737279999999,0.1757248149999999,2.589064247e+42,4.5646605333965e+41,4.2657367267102005e+41,5.0716902140000004e+42,8.083102032797101e+41,9.022029674770501e+41,1.2719,0.120733202,0.170133184,2.137764049e+42,2.9954702342304e+41,3.1113105170184e+41,4.119329055e+42,8.2522402107698e+41,5.376660513963501e+41
19670A,150.25671,50.793942,0.134,469.7107385333104,31.76870777713462,1.21723,0.1191911139999999,0.1355309949999998,1.5027931350000003e+42,3.0116392201484e+41,2.9006947097239004e+41,2.8440381290000006e+42,7.1492113538406e+41,6.410271018808801e+41,1.16715,0.1415683969999999,0.1883981480000001,1.1455277530000001e+42,3.4414989144598003e+41,2.3823996483847002e+41,2.126674972e+42,4.7192411493735e+41,7.6294962190048e+41
19670B,150.21492,50.805014,0.134,577.8301700912109,45.14286938145109,2.0289,0.2875829270000001,0.5020159659999996,4.8095267370000004e+42,2.9170779886014003e+41,4.451450367516301e+41,1.08328836e+43,1.0912025388527502e+42,1.46891286984355e+42,1.75662,0.2646682529999999,0.3582911629999998,3.826824414e+42,3.2333604573252002e+41,5.164355058132901e+41,8.239713105e+42,8.402300283516302e+41,8.549595342460102e+41
19670C,150.065,50.746,0.134,448.2956183924547,255.92176435511067,1.33425,0.2083873039999999,0.346770491,8.38180817e+41,3.1125223885027004e+41,3.846895015012401e+41,1.645934444e+42,8.121503384501701e+41,6.995221809747e+41,1.26209,0.2144722689999998,0.3118642310000001,6.159195316e+41,2.8319119478090004e+41,3.1893241817470004e+41,1.182900454e+42,5.522924140743201e+41,6.692209235509e+41
19670D,150.168,50.686,0.134,,,,,,,,,,,,,,,,,,,,
12833A,129.4968,44.2487,0.145,495.6156822555756,24.676326744827417,1.3407,0.0803779239999999,0.101755395,3.418327218000001e+42,3.9762464495058e+41,4.329062096824e+41,6.725962060000001e+42,7.4638927622176e+41,7.3619999214074e+41,1.32457,0.117213301,0.1700599069999999,2.1473489130000002e+42,3.1208426806198003e+41,2.9055408572512002e+41,4.2052512820000005e+42,5.9420442589453005e+41,9.580204569275801e+41
