name,gm500,gm500-,gm500+,gm2500,gm2500-,gm2500+,gm_froztemp500,gm_froztemp500-,gm_froztemp500+,gm_froztemp2500,gm_froztemp2500-,gm_froztemp2500+
25124A,3.0544,0.1565,0.1503,1.0177,0.0524,0.0533,3.0731,0.0618,0.0633,1.1873,0.025,0.0253
25124B,0.1412,0.0115,0.0119,0.0954,0.0082,0.008,0.1353,0.0091,0.0089,0.0838,0.0048,0.0049
25124C,0.3385,0.0326,0.0325,0.0897,0.0144,0.0152,0.4199,0.0258,0.026,0.0707,0.0067,0.0072
44739,0.0307,0.0065,0.0068,0.0147,0.0018,0.0018,0.0386,0.0097,0.0102,0.0188,0.0027,0.0026
19670AB,0.2189,0.0114,0.0115,0.0925,0.0095,0.0096,0.2205,0.0092,0.0096,0.0876,0.0062,0.0063
19670A,0.0766,0.0132,0.0144,0.0286,0.0043,0.0048,0.0776,0.0132,0.0151,0.0287,0.0032,0.0034
19670B,0.1667,0.0128,0.0142,0.0874,0.0069,0.0068,0.1612,0.0098,0.0102,0.0779,0.0039,0.0041
19670D,0.0995,0.0129,0.0141,0.0878,0.0108,0.0108,0.1147,0.0141,0.0171,0.0738,0.0049,0.0051
12833A,0.2292,0.0159,0.017,0.0713,0.0041,0.0043,0.2823,0.0177,0.0181,0.0948,0.0052,0.0053
12833B,0.0661,0.0113,0.0117,nan,nan,nan,0.069,0.0131,0.0139,nan,nan,nan
44858,0.5118,0.0208,0.0211,0.2259,0.0118,0.0113,0.6131,0.0162,0.0164,0.2726,0.0075,0.0076
J215504.8-093520,0.7248,0.0444,0.0452,nan,nan,nan,0.883,0.0476,0.0487,0.2534,0.0125,0.0125
J215437.2-091532.4,0.1515,0.0123,0.013,0.0328,0.0025,0.0025,0.1516,0.0174,0.0182,0.0453,0.0049,0.0053
50433,0.4107,0.0382,0.0403,0.0836,0.0067,0.0068,0.4955,0.0475,0.0491,0.1327,0.0093,0.0099
