name,beta,beta-,beta+,r_core,r_core-,r_core+,norm,norm-,norm+
25124A,0.718,0.028,0.031,122.944,8.506,9.011,0.1,0.004,0.005
25124B,2.062,0.769,0.626,202.735,58.963,59.432,0.003,0.001,0.001
25124C,1.967,0.971,0.621,654.565,248.415,191.891,0.001,0.0,0.0
44739,1.72,0.822,0.886,46.774,20.024,15.841,0.024,0.005,0.005
19670AB,2.109,0.733,0.575,273.567,69.408,62.643,0.003,0.0,0.001
19670A,1.983,0.802,0.66,84.796,26.147,21.724,0.015,0.003,0.003
19670B,2.27,0.682,0.461,158.536,32.634,22.869,0.009,0.001,0.001
19670D,1.875,0.866,0.759,225.079,81.512,82.762,0.003,0.001,0.001
12833A,0.621,0.05,0.071,29.146,5.047,6.369,0.051,0.008,0.009
12833B,1.933,0.784,0.709,96.083,29.758,22.296,0.031,0.005,0.006
44858,1.938,0.523,0.688,225.049,51.848,53.917,0.015,0.001,0.001
J215504.8-093520,0.429,0.009,0.01,36.14,2.981,3.382,0.029,0.002,0.002
J215437.2-091532.4,0.388,0.008,0.01,1.615,0.731,2.112,0.714,0.262,1.194
50433,0.369,0.011,0.012,1.403,0.454,1.511,1.026,0.561,1.238
