name,est_ra,est_dec,redshift
25124A,243.6290552,26.73024,0.186
25124B,243.504,26.691,0.186
25124C,243.541,26.648,0.186
44739,229.79362,28.33175,0.118
19670AB,150.2264016,50.8005648,0.134
19670A,150.25671,50.793942,0.134
19670B,150.21492,50.805014,0.134
19670C,150.065,50.746,0.134
19670D,150.168,50.686,0.134
12833A,129.4968,44.2487,0.145
12833B,129.445,44.379,0.145
44858,230.112,28.88775,0.127
J215504.8-093520,328.76992,-9.5888055,0.077
J215437.2-091532.4,328.655,-9.259,0.078
50433,157.758,30.862,0.136
